station1,station2,trajet_existe
Château de Vincennes,Bérault,True
Bérault,Gare de Lyon,True
Gare de Lyon,Saint-Mandé,True
Saint-Mandé,Porte de Vincennes,True
Porte de Vincennes,Reuilly - Diderot,True
Reuilly - Diderot,Nation,True
Nation,Bastille,True
Bastille,Saint-Paul (Le Marais),True
Saint-Paul (Le Marais),Hôtel de Ville,True
Hôtel de Ville,Châtelet,True
Châtelet,Louvre - Rivoli,True
Louvre - Rivoli,Palais Royal - Musée du Louvre,True
Palais Royal - Musée du Louvre,Tuileries,True
Tuileries,Concorde,True
Concorde,Champs-Elysées - Clemenceau,True
Champs-Elysées - Clemenceau,Franklin D. Roosevelt,True
Franklin D. Roosevelt,George V,True
George V,Charles de Gaulle - Etoile,True
Charles de Gaulle - Etoile,Argentine,True
Argentine,Porte Maillot,True
Porte Maillot,Les Sablons,True
Les Sablons,Pont de Neuilly,True
Pont de Neuilly,Esplanade de la Défense,True
Esplanade de la Défense,La Défense (Grande Arche),True
Boulogne Pont de Saint-Cloud,Boulogne Jean Jaurès,True
Boulogne Jean Jaurès,Gare d'Austerlitz,True
Gare d'Austerlitz,Chardon Lagache,True
Chardon Lagache,Michel-Ange - Molitor,True
Michel-Ange - Molitor,Javel - André Citroën,True
Javel - André Citroën,Jussieu,True
Jussieu,Charles Michels,True
Charles Michels,Cardinal Lemoine,True
Cardinal Lemoine,Duroc,True
Duroc,Avenue Emile Zola,True
Avenue Emile Zola,Mirabeau,True
Mirabeau,Eglise d'Auteuil,True
Eglise d'Auteuil,Ségur,True
Ségur,Porte d'Auteuil,True
Porte d'Auteuil,Michel-Ange - Auteuil,True
Michel-Ange - Auteuil,Vaneau,True
Vaneau,La Motte-Picquet - Grenelle,True
La Motte-Picquet - Grenelle,Maubert - Mutualité,True
Maubert - Mutualité,Cluny - La Sorbonne,True
Cluny - La Sorbonne,Sèvres - Babylone,True
Sèvres - Babylone,Odéon,True
Odéon,Mabillon,True
Hôtel de Ville,Châtelet,True
Châtelet,Rambuteau,True
Rambuteau,Arts et Métiers,True
Arts et Métiers,République,True
République,Goncourt,True
Goncourt,Belleville,True
Belleville,Pyrénées,True
Pyrénées,Jourdain,True
Jourdain,Télégraphe,True
Télégraphe,Place des Fêtes,True
Place des Fêtes,Porte des Lilas,True
Porte des Lilas,La Dhuys,True
La Dhuys,Montreuil - Hôpital,True
Montreuil - Hôpital,Mairie des Lilas,True
Mairie des Lilas,Serge Gainsbourg,True
Serge Gainsbourg,Coteaux Beauclair,True
Coteaux Beauclair,Rosny-Bois-Perrier,True
Rosny-Bois-Perrier,Romainville-Carnot,True
Mairie d'Issy,Corentin Celton,True
Corentin Celton,Porte de Versailles,True
Porte de Versailles,Convention,True
Convention,Vaugirard,True
Vaugirard,Volontaires,True
Volontaires,Pasteur,True
Pasteur,Montparnasse Bienvenue,True
Montparnasse Bienvenue,Falguière,True
Falguière,Notre-Dame des Champs,True
Notre-Dame des Champs,Rennes,True
Rennes,Sèvres - Babylone,True
Sèvres - Babylone,Rue du Bac,True
Rue du Bac,Solférino,True
Solférino,Assemblée Nationale,True
Assemblée Nationale,Concorde,True
Concorde,Madeleine,True
Madeleine,Saint-Lazare,True
Saint-Lazare,Notre-Dame-de-Lorette,True
Notre-Dame-de-Lorette,Trinité - d'Estienne d'Orves,True
Trinité - d'Estienne d'Orves,Saint-Georges,True
Saint-Georges,Pigalle,True
Pigalle,Abbesses,True
Abbesses,Lamarck - Caulaincourt,True
Lamarck - Caulaincourt,Marx Dormoy,True
Marx Dormoy,Marcadet - Poissonniers,True
