"Identifiant station","Nom de la Station","Nom de la ligne","Niveau de pollution aux particules","Niveau de pollution","Incertitude","Recommandation de surveillance","Action(s) QAI en cours","Lien vers les mesures en direct","Durée des mesures","stop_lon","stop_lat","point_geo","pollution_air","niveau","actions","niveau_pollution"
"IDFM:490917","Aéroport d'Orly","Métro 14","pas de données","pas de données","Évaluation : impossible faute d’informations","non",NA,NA,NA,2.3621434233506,48.727910744981,"48.72791074498099, 2.3621434233506027","pas de données","Pas de données",NA,"pas de données"
"IDFM:21994","Arts et Métiers","Métro 3","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.3567233472755,48.8655345988593,"48.86553459885931, 2.3567233472754983","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22124","Avron","Métro 2","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,NA,2.3981875566594,48.8516485435972,"48.85164854359716, 2.3981875566593973","pollution moyenne - incertitude forte","Pollution moyenne","Action(s) d'amélioration de la qualité de l'air en cours","pollution moyenne"
"IDFM:22130","Barbès - Rochechouart","Métro 4","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.349629927853,48.8834020604862,"48.883402060486226, 2.349629927853002","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:463005","Bir-Hakeim","Métro 6","station aérienne","station aérienne",NA,"non",NA,"https://www.airparif.fr/",NA,2.2894007376346,48.853925368376,"48.85392536837598, 2.2894007376345997","station aérienne","Station aérienne",NA,"station aérienne"
"IDFM:463114","Boissière","Métro 6","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.29003283760744,48.8668483434173,"48.8668483434173, 2.2900328376074373","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463134","Botzaris","Métro 7B","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.38890095131574,48.8795349912684,"48.879534991268365, 2.388900951315739","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22188","Boucicaut","Métro 8","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.28791843112456,48.8410241609932,"48.841024160993214, 2.2879184311245595","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:463137","Boulogne Jean Jaurès","Métro 10","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.23907778072893,48.8419915753245,"48.841991575324506, 2.239077780728926","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22033","Bourse","Métro 3","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.34067854697588,48.8687928439332,"48.868792843933164, 2.3406785469758815","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22231","Brochant","Métro 13","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.32019024689995,48.8906220155489,"48.89062201554889, 2.3201902468999456","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:463141","Cardinal Lemoine","Métro 10","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.35132800167318,48.8467000352631,"48.84670003526311, 2.3513280016731763","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:462976","Carrefour Pleyel","Métro 13","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.34353467418347,48.9197326080498,"48.919732608049756, 2.3435346741834655","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22391","Censier - Daubenton","Métro 7","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.3516265726055,48.8402262485139,"48.84022624851393, 2.351626572605499","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22095","Charles de Gaulle - Etoile","Métro 6","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.29499573544183,48.8738386147857,"48.87383861478572, 2.294995735441831","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:21986","Charles Michels","Métro 10","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.28562434179957,48.8463617234825,"48.84636172348247, 2.2856243417995747","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463149","Château de Vincennes","Métro 1","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.44054009540611,48.8443175143136,"48.84431751431355, 2.440540095406114","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22152","Château Rouge","Métro 4","pollution faible","FAIBLE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.34958196802566,48.887241930649,"48.887241930648955, 2.3495819680256593","pollution faible - incertitude forte","Pollution faible",NA,"pollution faible"
"IDFM:22087","Châtelet","Métro 1","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.34576095418478,48.8592247134282,"48.85922471342816, 2.3457609541847755","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22388","Chaussée d'Antin - La Fayette","Métro 7","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.3337385944087,48.8731342057747,"48.87313420577469, 2.3337385944087012","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:22096","Concorde","Métro 8","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non",NA,NA,NA,2.32203154265572,48.8665212519395,"48.86652125193945, 2.3220315426557194","pollution moyenne - incertitude forte","Pollution moyenne",NA,"pollution moyenne"
"IDFM:463105","Corvisart","Métro 6","station aérienne","station aérienne",NA,"non",NA,"https://www.airparif.fr/",NA,2.35061122592617,48.8298600133124,"48.82986001331238, 2.350611225926166","station aérienne","Station aérienne",NA,"station aérienne"
"IDFM:22121","Courcelles","Métro 2","pollution moyenne","MOYENNE","Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant","non","Action(s) d'amélioration de la qualité de l'air en cours",NA,NA,2.30329436242521,48.8792652541131,"48.87926525411311, 2.3032943624252122","pollution moyenne - incertitude forte","Pollution moyenne","Action(s) d'amélioration de la qualité de l'air en cours","pollution moyenne"
"IDFM:463056","Créteil - Préfecture","Métro 8","station aérienne","station aérienne",NA,"non",NA,"https://www.airparif.fr/",NA,2.45930516929126,48.7797565267789,"48.77975652677895, 2.4593051692912615","station aérienne","Station aérienne",NA,"station aérienne"
